epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
134,11785.4,0.30075,0.1859,0.81386,0.97303,0.91849,0.94172,0.90164,0.65352,0.30784,1.00963,0.000701375,0.000701375,0.000701375
135,11860.4,0.30531,0.18996,0.81718,0.98355,0.91749,0.96103,0.8931,0.65968,0.30778,1.0035,0.00069725,0.00069725,0.00069725
136,11934.9,0.30244,0.18786,0.81734,0.98095,0.90664,0.96956,0.92086,0.65807,0.30793,0.99634,0.000693125,0.000693125,0.000693125
137,12009.3,0.29712,0.18475,0.81576,0.95549,0.95325,0.97902,0.92921,0.63206,0.28624,0.97879,0.000689,0.000689,0.000689
138,12084,0.29482,0.18409,0.81222,0.96144,0.79142,0.85086,0.80931,0.65003,0.30401,0.9876,0.000684875,0.000684875,0.000684875
139,12158.9,0.29439,0.18353,0.81307,0.95585,0.77493,0.90857,0.85898,0.6526,0.31768,1.00501,0.00068075,0.00068075,0.00068075
140,12233.5,0.29026,0.1822,0.81285,0.97944,0.92073,0.9741,0.9153,0.64652,0.29984,0.99945,0.000676625,0.000676625,0.000676625
141,12310.3,0.28414,0.17765,0.81208,0.94972,0.95024,0.97018,0.91855,0.64455,0.31625,1.00004,0.0006725,0.0006725,0.0006725
142,12385.9,0.2902,0.18198,0.81495,0.95396,0.9059,0.96569,0.92231,0.65139,0.31153,0.98796,0.000668375,0.000668375,0.000668375
143,12460.7,0.28241,0.17744,0.81372,0.97258,0.91089,0.96779,0.92627,0.65477,0.32284,0.99973,0.00066425,0.00066425,0.00066425
144,12535.2,0.28778,0.17934,0.81337,0.97362,0.9368,0.96719,0.91114,0.65651,0.31332,1.01896,0.000660125,0.000660125,0.000660125
145,12610.3,0.29543,0.18223,0.81686,0.88379,0.83185,0.90813,0.85816,0.63755,0.30589,1.00154,0.000656,0.000656,0.000656
146,12685.1,0.29104,0.18487,0.81651,0.84008,0.9595,0.92837,0.87883,0.64582,0.30427,0.99565,0.000651875,0.000651875,0.000651875
147,12759.8,0.28752,0.17971,0.8167,0.97208,0.92117,0.96197,0.91063,0.63975,0.29609,0.98317,0.00064775,0.00064775,0.00064775
148,12834.8,0.28017,0.17729,0.81012,0.90063,0.79452,0.90892,0.85794,0.64602,0.30574,0.99547,0.000643625,0.000643625,0.000643625
149,12909.6,0.28015,0.17608,0.8099,0.97173,0.93114,0.96589,0.91858,0.65096,0.32002,1.00803,0.0006395,0.0006395,0.0006395
150,12984.7,0.27574,0.17426,0.80637,0.93766,0.79428,0.86588,0.81524,0.66263,0.32883,1.01177,0.000635375,0.000635375,0.000635375
151,13059.5,0.28186,0.17562,0.81356,0.94354,0.93478,0.96748,0.9202,0.64125,0.31004,0.97715,0.00063125,0.00063125,0.00063125
152,13156.5,0.27889,0.17756,0.81181,0.97266,0.93218,0.96943,0.92494,0.62168,0.3049,0.95862,0.000627125,0.000627125,0.000627125
153,13232.5,0.28159,0.17806,0.81349,0.97553,0.95279,0.97024,0.91873,0.60255,0.30118,0.95021,0.000623,0.000623,0.000623
154,13308.8,0.28391,0.17848,0.81195,0.9753,0.94622,0.96835,0.91789,0.60283,0.2971,0.97609,0.000618875,0.000618875,0.000618875
155,13383.5,0.27348,0.17238,0.80969,0.95012,0.80458,0.92393,0.8766,0.64098,0.30972,1.00998,0.00061475,0.00061475,0.00061475
156,13458.9,0.28295,0.1754,0.81324,0.9522,0.78721,0.85572,0.80671,0.62228,0.31578,0.99597,0.000610625,0.000610625,0.000610625
157,13533.8,0.27481,0.17455,0.80707,0.95444,0.8091,0.90159,0.85377,0.61353,0.29785,1.00341,0.0006065,0.0006065,0.0006065
158,13608.5,0.27527,0.17443,0.81017,0.81353,0.83568,0.92389,0.87165,0.60912,0.29313,0.98004,0.000602375,0.000602375,0.000602375
159,13683.4,0.27476,0.17307,0.81019,0.96132,0.93527,0.96939,0.90737,0.61197,0.30164,0.98713,0.00059825,0.00059825,0.00059825
160,13758.2,0.27462,0.17206,0.80916,0.8613,0.91613,0.92948,0.88229,0.60358,0.28424,0.99161,0.000594125,0.000594125,0.000594125
161,13832.7,0.26919,0.16983,0.80882,0.95982,0.94919,0.97239,0.92747,0.59251,0.28114,0.97402,0.00059,0.00059,0.00059
162,13907.5,0.26978,0.16872,0.80915,0.93722,0.79757,0.87157,0.82881,0.62401,0.30353,0.97956,0.000585875,0.000585875,0.000585875
163,13982.3,0.26611,0.16974,0.80496,0.95741,0.80683,0.90633,0.86278,0.6036,0.2957,0.98662,0.00058175,0.00058175,0.00058175
164,14056.5,0.26946,0.16893,0.80926,0.86982,0.95439,0.92234,0.87481,0.60458,0.28177,1.00086,0.000577625,0.000577625,0.000577625
165,14131.8,0.269,0.16891,0.80846,0.96652,0.77282,0.83149,0.78728,0.62065,0.30029,0.99699,0.0005735,0.0005735,0.0005735
166,14207.1,0.26375,0.16861,0.80893,0.95696,0.92977,0.96371,0.91169,0.62229,0.30266,0.98869,0.000569375,0.000569375,0.000569375
167,14281.7,0.25986,0.16424,0.80499,0.98964,0.92238,0.96854,0.91472,0.59757,0.27849,0.97953,0.00056525,0.00056525,0.00056525
168,14356.3,0.25835,0.1645,0.80567,0.84397,0.91988,0.92563,0.87501,0.59205,0.29046,0.978,0.000561125,0.000561125,0.000561125
169,14431,0.2595,0.16522,0.80554,0.95482,0.82539,0.8466,0.79757,0.59779,0.2875,0.98579,0.000557,0.000557,0.000557
170,14506.1,0.2564,0.16372,0.80736,0.95192,0.94797,0.96711,0.91712,0.60341,0.28273,0.99705,0.000552875,0.000552875,0.000552875
171,14580.7,0.25538,0.16382,0.80474,0.95952,0.95425,0.97118,0.92103,0.60731,0.28669,0.97906,0.00054875,0.00054875,0.00054875
172,14655.8,0.2517,0.16254,0.80362,0.96102,0.77147,0.88335,0.8353,0.59727,0.28933,0.98845,0.000544625,0.000544625,0.000544625
173,14731,0.25585,0.16386,0.80655,0.97628,0.92095,0.96594,0.91463,0.59915,0.2855,0.99937,0.0005405,0.0005405,0.0005405
174,14806.5,0.25198,0.16165,0.80377,0.98161,0.91186,0.96553,0.90766,0.61201,0.28463,1.00121,0.000536375,0.000536375,0.000536375
175,14882.5,0.25702,0.1636,0.80668,0.94841,0.92649,0.96283,0.91803,0.61029,0.28481,0.99096,0.00053225,0.00053225,0.00053225
176,14956.9,0.25662,0.16244,0.80335,0.86033,0.95706,0.92858,0.88122,0.6108,0.30015,1.01238,0.000528125,0.000528125,0.000528125
177,15031.6,0.25679,0.16404,0.80379,0.94133,0.81398,0.91065,0.86621,0.61326,0.30276,1.00422,0.000524,0.000524,0.000524
178,15106.3,0.2565,0.16592,0.8035,0.84488,0.92583,0.92665,0.88132,0.63394,0.2998,1.00908,0.000519875,0.000519875,0.000519875
179,15183.8,0.25702,0.16613,0.80755,0.97702,0.92802,0.9701,0.90525,0.59105,0.29234,0.98054,0.00051575,0.00051575,0.00051575
180,15259.5,0.25033,0.16282,0.80391,0.97492,0.92484,0.97101,0.92532,0.58856,0.3021,0.97917,0.000511625,0.000511625,0.000511625
